sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated,area_saved,burn_rate_reduction,bench_episode_length,timesteps_saved,area_saved_prop
0,0,0,7,16376,7.0,16384,1,16056,16057.0,868,868,0.9995019920318725
1,9,0,11,16369,1.1,16384,4,-8,-0.40000000000000013,868,864,-0.01
2,18,0,19,16358,1.0,16384,7,-15,-0.42105263157894735,868,860,-0.01
3,27,0,37,16337,1.3214285714285714,16384,10,-28,-0.6428571428571428,868,856,-0.01
4,36,0,59,16308,1.5945945945945945,16384,17,-39,-0.5945945945945945,868,852,-0.01
5,45,0,84,16282,1.826086956521739,16384,18,-43,-0.5434782608695652,868,848,-0.01
6,54,0,106,16258,1.9272727272727272,16384,20,-42,-0.3999999999999999,868,844,-0.01
7,63,0,128,16233,2.0,16384,23,-45,-0.34375,868,840,-0.01
8,72,0,151,16207,2.0684931506849313,16384,26,-49,-0.31506849315068486,868,836,-0.01
9,81,0,160,16193,1.951219512195122,16384,31,-40,-0.10975609756097549,868,832,-0.01
10,90,1,180,16171,1.989010989010989,16384,32,-53,-0.23076923076923084,868,828,-0.01
11,99,7,195,16146,2.02,16384,36,-57,-0.20999999999999996,868,824,-0.01
12,108,11,206,16130,1.9908256880733946,16384,37,-52,-0.13761467889908263,868,820,-0.01
13,117,19,214,16112,1.9745762711864407,16384,39,-55,-0.13559322033898313,868,816,-0.01
14,126,37,209,16098,1.937007874015748,16384,40,-53,-0.10236220472440927,868,812,-0.01
15,135,59,203,16080,1.9264705882352942,16384,42,-58,-0.11764705882352944,868,808,-0.01
16,144,84,197,16058,1.9379310344827587,16384,45,-64,-0.13103448275862073,868,804,-0.01
17,153,106,196,16034,1.9610389610389611,16384,48,-69,-0.13636363636363646,868,800,-0.01
18,162,128,209,15996,2.067484662576687,16384,51,-86,-0.2147239263803682,868,796,-0.01
19,171,151,209,15971,2.0930232558139537,16384,53,-76,-0.13372093023255838,868,792,-0.01
20,180,160,222,15948,2.110497237569061,16384,54,-76,-0.12154696132596698,868,788,-0.01
21,189,181,223,15926,2.126315789473684,16384,54,-76,-0.11578947368421044,868,784,-0.01
22,198,202,232,15896,2.180904522613065,16384,54,-84,-0.1507537688442211,868,780,-0.01
23,207,217,246,15866,2.2259615384615383,16384,55,-84,-0.13942307692307665,868,776,-0.01
24,216,233,253,15843,2.23963133640553,16384,55,-78,-0.1059907834101379,868,772,-0.01
25,225,246,268,15815,2.274336283185841,16384,55,-83,-0.1238938053097347,868,768,-0.01
26,234,262,278,15787,2.297872340425532,16384,57,-83,-0.11063829787234081,868,764,-0.01
27,243,281,297,15749,2.3688524590163933,16384,57,-95,-0.15573770491803263,868,760,-0.01
28,252,302,314,15708,2.4347826086956523,16384,60,-98,-0.15019762845849804,868,756,-0.01
29,261,337,309,15675,2.4656488549618323,16384,63,-93,-0.11450381679389343,868,752,-0.01
30,270,360,339,15621,2.5793357933579335,16384,64,-117,-0.195571955719557,868,748,-0.01
31,279,382,370,15566,2.6857142857142855,16384,66,-119,-0.18928571428571406,868,744,-0.01
32,288,404,394,15517,2.7612456747404845,16384,69,-115,-0.1591695501730106,868,740,-0.01
33,297,434,411,15470,2.835570469798658,16384,69,-116,-0.1577181208053693,868,736,-0.01
34,306,463,427,15423,2.8990228013029316,16384,71,-116,-0.14657980456026065,868,732,-0.01
35,315,486,443,15384,2.939873417721519,16384,71,-110,-0.12341772151898756,868,728,-0.01
36,324,514,465,15333,3.0123076923076924,16384,72,-122,-0.15384615384615374,868,724,-0.01
37,333,540,491,15281,3.086826347305389,16384,72,-124,-0.15568862275449113,868,720,-0.01
38,342,578,508,15225,3.1661807580174925,16384,73,-128,-0.1603498542274049,868,716,-0.01
39,351,616,515,15177,3.2130681818181817,16384,76,-121,-0.12784090909090873,868,712,-0.01
40,360,646,521,15137,3.2326869806094183,16384,80,-116,-0.09972299168975063,868,708,-0.01
41,369,699,503,15101,3.2486486486486488,16384,81,-116,-0.09459459459459474,868,704,-0.01
42,378,752,497,15050,3.295514511873351,16384,85,-132,-0.12401055408970985,868,700,-0.01
43,387,798,487,15014,3.3118556701030926,16384,85,-121,-0.09278350515463885,868,696,-0.01
44,396,845,476,14976,3.327455919395466,16384,87,-123,-0.09068010075566768,868,692,-0.01
45,405,890,473,14931,3.357142857142857,16384,90,-132,-0.10344827586206895,868,688,-0.01
46,414,929,487,14874,3.4120481927710844,16384,94,-147,-0.12771084337349414,868,684,-0.01
47,423,979,499,14810,3.4858490566037736,16384,96,-158,-0.14622641509433976,868,680,-0.01
48,432,1031,511,14742,3.561200923787529,16384,100,-164,-0.14780600461893778,868,676,-0.01
49,441,1086,512,14685,3.6153846153846154,16384,101,-157,-0.12669683257918551,868,672,-0.01
50,450,1131,534,14616,3.6917960088691797,16384,103,-170,-0.14855875831485577,868,668,-0.01
51,459,1167,561,14553,3.756521739130435,16384,103,-166,-0.13695652173913064,868,664,-0.01
52,468,1202,605,14474,3.8528784648187635,16384,103,-182,-0.1684434968017059,868,660,-0.01
53,477,1249,626,14406,3.922594142259414,16384,103,-171,-0.14225941422594124,868,656,-0.01
54,486,1285,652,14344,3.97741273100616,16384,103,-165,-0.12731006160164293,868,652,-0.01
55,495,1321,681,14277,4.036290322580645,16384,105,-170,-0.13104838709677402,868,648,-0.01
56,504,1363,699,14216,4.083168316831683,16384,106,-166,-0.11881188118811892,868,644,-0.01
57,513,1416,699,14162,4.114785992217898,16384,107,-160,-0.1031128404669257,868,640,-0.01
58,522,1478,697,14102,4.1586998087954115,16384,107,-167,-0.11472275334608106,868,636,-0.01
59,531,1542,694,14041,4.203007518796992,16384,107,-168,-0.11466165413533869,868,632,-0.01
60,540,1598,708,13971,4.262476894639557,16384,107,-177,-0.12939001848428866,868,628,-0.01
61,549,1665,709,13902,4.316363636363636,16384,108,-176,-0.12363636363636399,868,624,-0.01
62,558,1728,738,13810,4.411449016100179,16384,108,-200,-0.1645796064400722,868,620,-0.01
63,567,1807,737,13732,4.47887323943662,16384,108,-186,-0.13732394366197198,868,616,-0.01
64,576,1875,744,13657,4.538994800693241,16384,108,-183,-0.1299826689774699,868,612,-0.01
65,585,1937,757,13582,4.597269624573379,16384,108,-183,-0.12798634812286647,868,608,-0.01
66,594,2002,769,13505,4.6571428571428575,16384,108,-185,-0.12941176470588278,868,604,-0.01
67,603,2062,798,13416,4.735099337748345,16384,108,-197,-0.1473509933774837,868,600,-0.01
68,612,2115,846,13315,4.830342577487765,16384,108,-209,-0.16476345840130513,868,596,-0.01
69,621,2175,880,13221,4.911575562700965,16384,108,-202,-0.15112540192926094,868,592,-0.01
70,630,2236,913,13127,4.990491283676704,16384,108,-202,-0.14896988906497644,868,588,-0.01
71,639,2306,936,13034,5.065625,16384,108,-201,-0.14531250000000018,868,584,-0.01
72,648,2374,950,12952,5.121725731895223,16384,108,-190,-0.12634822804314272,868,580,-0.01
73,657,2466,954,12856,5.197568389057751,16384,108,-204,-0.14589665653495487,868,576,-0.01
74,666,2544,982,12748,5.286356821589205,16384,110,-216,-0.15892053973013454,868,572,-0.01
75,675,2619,1004,12651,5.359467455621302,16384,110,-207,-0.14349112426035493,868,568,-0.01
76,684,2694,1017,12561,5.417518248175183,16384,112,-200,-0.12846715328467173,868,564,-0.01
77,693,2771,1027,12474,5.472622478386167,16384,112,-199,-0.12536023054755052,868,560,-0.01
78,702,2860,1049,12363,5.560455192034139,16384,112,-223,-0.15789473684210442,868,556,-0.01
79,711,2961,1046,12265,5.627808988764045,16384,112,-210,-0.13764044943820242,868,552,-0.01
80,720,3055,1048,12169,5.690707350901525,16384,112,-208,-0.13314840499306513,868,548,-0.01
81,729,3149,1045,12078,5.745205479452054,16384,112,-203,-0.124657534246575,868,544,-0.01
82,738,3242,1049,11976,5.806495263870095,16384,117,-214,-0.13125845737483033,868,540,-0.01
83,747,3324,1059,11881,5.859625668449198,16384,120,-212,-0.12299465240641716,868,536,-0.01
84,756,3420,1065,11772,5.924702774108322,16384,127,-229,-0.13474240422721273,868,532,-0.01
85,765,3526,1057,11669,5.983028720626632,16384,132,-230,-0.12793733681462172,868,528,-0.01
86,774,3623,1061,11567,6.0438709677419356,16384,133,-234,-0.13032258064516178,868,524,-0.01
87,783,3711,1070,11467,6.098214285714286,16384,136,-233,-0.12372448979591866,868,520,-0.01
88,792,3798,1080,11365,6.151324085750315,16384,141,-238,-0.12232030264817162,868,516,-0.01
89,801,3909,1075,11255,6.214463840399002,16384,145,-251,-0.1321695760598498,868,512,-0.01
90,810,4007,1095,11137,6.290998766954377,16384,145,-263,-0.14549938347718872,868,508,-0.01
91,819,4103,1111,11022,6.3585365853658535,16384,148,-260,-0.13658536585365866,868,504,-0.01
92,828,4194,1134,10904,6.427020506634499,16384,152,-266,-0.13751507840771993,868,500,-0.01
93,837,4291,1161,10778,6.505966587112172,16384,154,-278,-0.1479713603818622,868,496,-0.01
94,846,4383,1193,10650,6.58323494687131,16384,158,-282,-0.14639905548996435,868,492,-0.01
95,855,4485,1201,10539,6.642523364485982,16384,159,-269,-0.12850467289719614,868,488,-0.01
96,864,4583,1212,10428,6.699421965317919,16384,161,-270,-0.12601156069364183,868,484,-0.01
97,873,4684,1200,10338,6.732265446224257,16384,162,-251,-0.10183066361556126,868,480,-0.01
98,882,4781,1196,10243,6.768969422423556,16384,164,-257,-0.10532276330690848,868,476,-0.01
99,891,4878,1202,10138,6.816143497757848,16384,166,-269,-0.11547085201793728,868,472,-0.01
100,900,4984,1201,10032,6.864594894561598,16384,167,-272,-0.11653718091010035,868,468,-0.01
101,909,5102,1191,9923,6.915384615384616,16384,168,-276,-0.11868131868131915,868,464,-0.01
102,918,5214,1203,9799,6.982589771490751,16384,168,-292,-0.1349292709466816,868,460,-0.01
103,927,5328,1248,9639,7.086206896551724,16384,169,-328,-0.1713362068965516,868,456,-0.01
104,936,5452,1259,9502,7.16221985058698,16384,171,-306,-0.1440768409818567,868,452,-0.01
105,945,5576,1270,9363,7.236786469344609,16384,175,-310,-0.14270613107822427,868,448,-0.01
106,954,5686,1285,9234,7.299476439790576,16384,179,-304,-0.1308900523560208,868,444,-0.01
107,963,5795,1308,9099,7.368257261410788,16384,182,-314,-0.13692946058091238,868,440,-0.01
108,972,5884,1331,8987,7.4152106885919835,16384,182,-294,-0.11510791366906492,868,436,-0.01
109,981,5977,1343,8880,7.454175152749491,16384,184,-289,-0.10692464358452103,868,432,-0.01
110,990,6080,1336,8783,7.48335015136226,16384,185,-281,-0.09687184661957637,868,428,-0.01
111,999,6185,1327,8685,7.512,16384,187,-283,-0.0959999999999992,868,424,-0.01
112,1008,6293,1321,8582,7.546085232903865,16384,188,-290,-0.1010901883052524,868,420,-0.01
113,1017,6417,1311,8466,7.591355599214145,16384,190,-304,-0.11198428290766138,868,416,-0.01
114,1026,6576,1298,8315,7.66699123661149,16384,195,-341,-0.1421616358325224,868,412,-0.01
115,1035,6711,1311,8164,7.743243243243243,16384,198,-346,-0.14285714285714235,868,408,-0.01
116,1044,6846,1305,8031,7.8,16384,202,-331,-0.1234449760765548,868,404,-0.01
117,1053,6971,1303,7906,7.850094876660341,16384,204,-327,-0.11669829222011341,868,400,-0.01
118,1062,7103,1324,7752,7.927563499529633,16384,205,-358,-0.14393226716839091,868,396,-0.01
119,1071,7215,1328,7636,7.969216417910448,16384,205,-321,-0.10820895522388074,868,392,-0.01
120,1080,7320,1341,7518,8.012025901942646,16384,205,-323,-0.10915818686401568,868,388,-0.01
121,1089,7416,1335,7427,8.028440366972477,16384,206,-296,-0.08256880733944971,868,384,-0.01
122,1098,7512,1354,7312,8.067333939945405,16384,206,-321,-0.10464058234758866,868,380,-0.01
123,1107,7614,1363,7201,8.101985559566787,16384,206,-317,-0.1001805054151621,868,376,-0.01
124,1116,7728,1372,7077,8.146821844225604,16384,207,-330,-0.11011638316920269,868,372,-0.01
125,1125,7874,1367,6935,8.206927175843694,16384,208,-349,-0.12522202486678502,868,368,-0.01
126,1134,8022,1384,6768,8.287224669603525,16384,210,-375,-0.14537444933920796,868,364,-0.01
127,1143,8151,1407,6614,8.354895104895105,16384,212,-364,-0.13286713286713336,868,360,-0.01
128,1152,8274,1474,6421,8.454466608846488,16384,215,-405,-0.1647875108412844,868,356,-0.01
129,1161,8427,1478,6264,8.524096385542169,16384,215,-372,-0.13511187607573127,868,352,-0.01
130,1170,8543,1511,6111,8.585824081981213,16384,219,-368,-0.12724167378309303,868,348,-0.01
131,1179,8661,1561,5940,8.662711864406779,16384,222,-390,-0.14237288135593218,868,344,-0.01
132,1188,8751,1644,5764,8.742640874684609,16384,225,-398,-0.14550042052144718,868,340,-0.01
133,1197,8866,1681,5609,8.803839732888147,16384,228,-380,-0.12687813021702787,868,336,-0.01
134,1206,8977,1739,5439,8.878210439105219,16384,229,-398,-0.14001657000828516,868,332,-0.01
135,1215,9100,1787,5266,8.953125,16384,231,-402,-0.140625,868,328,-0.01
136,1224,9241,1798,5113,9.01142857142857,16384,232,-384,-0.12408163265306094,868,324,-0.01
137,1233,9406,1814,4932,9.092382495948137,16384,232,-413,-0.14667747163695388,868,320,-0.01
138,1242,9558,1848,4744,9.176186645213194,16384,234,-420,-0.149637972646822,868,316,-0.01
139,1251,9748,1822,4580,9.241214057507987,16384,234,-398,-0.13099041533546263,868,312,-0.01
140,1260,9905,1836,4405,9.31086439333862,16384,238,-409,-0.13560666137985855,868,308,-0.01
141,1269,10054,1858,4233,9.379527559055118,16384,239,-410,-0.1346456692913378,868,304,-0.01
142,1278,10222,1870,4052,9.45426114151681,16384,240,-420,-0.1407349491790466,868,300,-0.01
143,1287,10395,1831,3918,9.49223602484472,16384,240,-374,-0.10403726708074501,868,296,-0.01
144,1296,10547,1834,3763,9.545875096376253,16384,240,-395,-0.11950655358519668,868,292,-0.01
145,1305,10716,1790,3636,9.575803981623277,16384,242,-367,-0.095712098009189,868,288,-0.01
146,1314,10887,1767,3485,9.622813688212927,16384,245,-393,-0.11254752851711025,868,284,-0.01
147,1323,11039,1762,3336,9.668429003021147,16384,247,-394,-0.11102719033232589,868,280,-0.01
148,1332,11220,1720,3197,9.707426856714179,16384,247,-386,-0.10427606901725461,868,276,-0.01
149,1341,11406,1671,3058,9.74441132637854,16384,249,-386,-0.10208643815201235,868,272,-0.01
150,1350,11570,1615,2950,9.759437453737972,16384,249,-357,-0.07994078460399656,868,268,-0.01
151,1359,11741,1542,2851,9.766911764705883,16384,250,-348,-0.07205882352941195,868,264,-0.01
152,1368,11912,1471,2751,9.775748721694667,16384,250,-350,-0.07304601899196328,868,260,-0.01
153,1377,12092,1400,2642,9.79100145137881,16384,250,-359,-0.07910014513788077,868,256,-0.01
154,1386,12226,1389,2518,9.816149963950974,16384,251,-374,-0.0886806056236491,868,252,-0.01
155,1395,12381,1348,2404,9.834527220630372,16384,251,-365,-0.0816618911174789,868,248,-0.01
156,1404,12506,1325,2301,9.844128113879004,16384,252,-354,-0.07259786476868335,868,244,-0.01
157,1413,12654,1291,2187,9.862093352192362,16384,252,-366,-0.08062234794908107,868,240,-0.01
158,1422,12801,1233,2097,9.862262825017568,16384,253,-342,-0.06254392129304343,868,236,-0.01
159,1431,12940,1186,2004,9.864525139664805,16384,254,-346,-0.0642458100558656,868,232,-0.01
160,1440,13077,1134,1918,9.861901457321304,16384,255,-340,-0.0589868147120054,868,228,-0.01
161,1449,13185,1118,1826,9.864137931034483,16384,255,-347,-0.06344827586206847,868,224,-0.01
162,1458,13283,1126,1719,9.875942426319396,16384,256,-362,-0.07265250171350068,868,220,-0.01
163,1467,13383,1108,1637,9.871253405994551,16384,256,-338,-0.055858310626703656,868,216,-0.01
164,1476,13492,1080,1556,9.865944482058227,16384,256,-337,-0.05484089370345302,868,212,-0.01
165,1485,13615,1030,1482,9.855316285329744,16384,257,-330,-0.04912516823687696,868,208,-0.01
166,1494,13729,992,1403,9.846822742474917,16384,260,-336,-0.050836120401337226,868,204,-0.01
167,1503,13831,974,1315,9.84375,16384,264,-348,-0.05585106382978644,868,200,-0.01
