sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated,area_saved,burn_rate_reduction,bench_episode_length,timesteps_saved,area_saved_prop
0,0,0,8,16375,8.0,16384,1,15913,15914.0,536,536,0.9994347443788468
1,9,0,18,16362,1.8,16384,4,-14,-1.0,536,532,-0.01
2,18,0,30,16347,1.5789473684210527,16384,7,-19,-0.6315789473684211,536,528,-0.01
3,27,0,46,16328,1.6428571428571428,16384,10,-26,-0.5714285714285714,536,524,-0.01
4,36,0,66,16301,1.7837837837837838,16384,17,-37,-0.5405405405405406,536,520,-0.01
5,45,0,84,16282,1.826086956521739,16384,18,-36,-0.3913043478260869,536,516,-0.01
6,54,0,112,16252,2.036363636363636,16384,20,-48,-0.5090909090909088,536,512,-0.01
7,63,0,144,16217,2.25,16384,23,-55,-0.5,536,508,-0.01
8,72,0,182,16176,2.493150684931507,16384,26,-64,-0.5205479452054798,536,504,-0.01
9,81,0,228,16125,2.7804878048780486,16384,31,-77,-0.5609756097560972,536,500,-0.01
10,90,1,269,16082,2.967032967032967,16384,32,-74,-0.4615384615384617,536,496,-0.01
11,99,8,310,16030,3.18,16384,36,-84,-0.48,536,492,-0.01
12,108,18,368,15961,3.541284403669725,16384,37,-105,-0.6238532110091746,536,488,-0.01
13,117,30,419,15896,3.805084745762712,16384,39,-102,-0.5338983050847457,536,484,-0.01
14,126,46,454,15844,3.937007874015748,16384,40,-91,-0.4015748031496065,536,480,-0.01
15,135,66,503,15773,4.1838235294117645,16384,42,-111,-0.5073529411764706,536,476,-0.01
16,144,84,554,15701,4.4,16384,45,-114,-0.4758620689655175,536,472,-0.01
17,153,112,605,15619,4.6558441558441555,16384,48,-127,-0.5129870129870122,536,468,-0.01
18,162,144,649,15540,4.865030674846626,16384,51,-127,-0.4662576687116564,536,464,-0.01
19,171,182,700,15449,5.127906976744186,16384,53,-142,-0.5174418604651168,536,460,-0.01
20,180,228,745,15357,5.375690607734807,16384,54,-145,-0.5027624309392271,536,456,-0.01
21,189,270,810,15250,5.684210526315789,16384,54,-161,-0.5631578947368423,536,452,-0.01
22,198,318,874,15138,5.989949748743719,16384,54,-166,-0.5628140703517586,536,448,-0.01
23,207,386,929,15014,6.322115384615385,16384,55,-178,-0.5913461538461542,536,444,-0.01
24,216,449,989,14891,6.626728110599078,16384,55,-178,-0.5668202764976957,536,440,-0.01
25,225,500,1073,14756,6.960176991150442,16384,55,-190,-0.5973451327433628,536,436,-0.01
26,234,569,1145,14613,7.293617021276596,16384,57,-198,-0.6000000000000005,536,432,-0.01
27,243,638,1224,14465,7.631147540983607,16384,57,-205,-0.6065573770491808,536,428,-0.01
28,252,717,1258,14349,7.8063241106719365,16384,60,-173,-0.44664031620553324,536,424,-0.01
29,261,793,1310,14218,8.026717557251908,16384,63,-191,-0.4885496183206106,536,420,-0.01
30,270,882,1367,14071,8.29889298892989,16384,64,-210,-0.5387453874538748,536,416,-0.01
31,279,973,1409,13936,8.507142857142858,16384,66,-199,-0.4750000000000014,536,412,-0.01
32,288,1080,1463,13773,8.799307958477508,16384,68,-229,-0.5570934256055349,536,408,-0.01
33,297,1192,1510,13613,9.06711409395973,16384,69,-228,-0.5335570469798654,536,404,-0.01
34,306,1315,1550,13447,9.332247557003257,16384,72,-235,-0.5309446254071659,536,400,-0.01
35,315,1438,1583,13290,9.560126582278482,16384,73,-229,-0.4936708860759502,536,396,-0.01
36,324,1573,1614,13123,9.806153846153846,16384,74,-240,-0.5107692307692311,536,392,-0.01
37,333,1714,1640,12956,10.04191616766467,16384,74,-241,-0.5,536,388,-0.01
38,342,1862,1651,12796,10.241982507288629,16384,75,-234,-0.463556851311953,536,384,-0.01
39,351,1975,1718,12613,10.491477272727273,16384,78,-258,-0.5113636363636367,536,380,-0.01
40,360,2103,1767,12432,10.720221606648199,16384,82,-259,-0.4903047091412738,536,376,-0.01
41,369,2249,1804,12248,10.954054054054055,16384,83,-266,-0.4945945945945951,536,372,-0.01
42,378,2382,1869,12046,11.216358839050132,16384,87,-285,-0.5224274406332459,536,368,-0.01
43,387,2543,1895,11859,11.438144329896907,16384,87,-274,-0.4819587628865989,536,364,-0.01
44,396,2702,1937,11656,11.685138539042821,16384,89,-290,-0.5062972292191432,536,360,-0.01
45,405,2865,1987,11440,11.950738916256158,16384,92,-305,-0.5246305418719217,536,356,-0.01
46,414,3021,2044,11223,12.204819277108435,16384,96,-309,-0.5132530120481942,536,352,-0.01
47,423,3187,2135,10964,12.55188679245283,16384,98,-355,-0.6061320754716988,536,348,-0.01
48,432,3354,2245,10682,12.930715935334874,16384,103,-380,-0.6397228637413406,536,344,-0.01
