sim_step,timestep,burned,burning,unburned,burn_rate,size
0,0,0,7,16377,7.0,16384
1,9,0,12,16372,1.2,16384
2,18,0,17,16367,0.8947368421052632,16384
3,27,0,23,16361,0.8214285714285714,16384
4,36,0,30,16354,0.8108108108108109,16384
5,45,0,43,16341,0.9347826086956522,16384
6,54,0,63,16321,1.1454545454545455,16384
7,63,0,85,16299,1.328125,16384
8,72,0,114,16270,1.5616438356164384,16384
9,81,0,146,16238,1.7804878048780488,16384
10,90,1,178,16205,1.967032967032967,16384
11,99,7,206,16171,2.13,16384
12,108,12,246,16126,2.36697247706422,16384
13,117,17,296,16071,2.652542372881356,16384
14,126,23,345,16016,2.8976377952755907,16384
15,135,30,396,15958,3.1323529411764706,16384
16,144,43,443,15898,3.3517241379310345,16384
17,153,63,494,15827,3.616883116883117,16384
18,162,85,543,15756,3.852760736196319,16384
19,171,114,594,15676,4.116279069767442,16384
20,180,146,644,15594,4.3646408839779,16384
21,189,179,691,15514,4.578947368421052,16384
22,198,213,756,15415,4.869346733668341,16384
23,207,258,799,15327,5.081730769230769,16384
24,216,313,832,15239,5.276497695852535,16384
25,225,368,877,15139,5.508849557522124,16384
26,234,426,916,15042,5.7106382978723405,16384
27,243,486,970,14928,5.967213114754099,16384
28,252,557,1033,14794,6.284584980237154,16384
29,261,628,1092,14664,6.564885496183206,16384
30,270,708,1125,14551,6.763837638376383,16384
31,279,790,1162,14432,6.9714285714285715,16384
32,288,870,1222,14292,7.2387543252595155,16384
33,297,969,1281,14134,7.550335570469799,16384
34,306,1057,1341,13986,7.811074918566775,16384
35,315,1145,1380,13859,7.9905063291139244,16384
36,324,1245,1424,13715,8.212307692307693,16384
37,333,1342,1454,13588,8.37125748502994,16384
38,342,1456,1471,13457,8.533527696793003,16384
39,351,1590,1454,13340,8.647727272727273,16384
40,360,1720,1458,13206,8.803324099722992,16384
41,369,1833,1472,13079,8.932432432432432,16384
42,378,1952,1485,12947,9.068601583113457,16384
43,387,2092,1472,12820,9.185567010309278,16384
44,396,2250,1480,12654,9.395465994962217,16384
45,405,2398,1520,12466,9.650246305418719,16384
46,414,2525,1583,12276,9.898795180722892,16384
47,423,2669,1614,12101,10.101415094339623,16384
48,432,2796,1650,11938,10.267898383371824,16384
49,441,2927,1661,11796,10.380090497737557,16384
50,450,3044,1703,11637,10.52549889135255,16384
51,459,3178,1733,11473,10.67608695652174,16384
52,468,3305,1757,11322,10.793176972281449,16384
53,477,3437,1774,11173,10.901673640167363,16384
54,486,3564,1822,10998,11.059548254620124,16384
55,495,3730,1837,10817,11.223790322580646,16384
56,504,3918,1812,10654,11.346534653465346,16384
57,513,4108,1798,10478,11.490272373540856,16384
58,522,4283,1787,10314,11.606118546845124,16384
59,531,4446,1812,10126,11.763157894736842,16384
60,540,4588,1868,9928,11.933456561922366,16384
61,549,4747,1927,9710,12.134545454545455,16384
62,558,4911,1955,9518,12.282647584973166,16384
63,567,5062,1976,9346,12.390845070422536,16384
64,576,5211,1984,9189,12.469670710571924,16384
65,585,5386,1962,9036,12.53924914675768,16384
66,594,5567,1966,8851,12.660504201680672,16384
67,603,5730,1994,8660,12.788079470198676,16384
68,612,5906,1992,8486,12.884176182707993,16384
69,621,6070,1967,8347,12.921221864951768,16384
70,630,6258,1922,8204,12.963549920760697,16384
71,639,6456,1880,8048,13.025,16384
72,648,6674,1816,7894,13.08166409861325,16384
73,657,6866,1808,7710,13.182370820668693,16384
74,666,7038,1826,7520,13.28935532233883,16384
75,675,7195,1857,7332,13.390532544378699,16384
76,684,7348,1867,7169,13.452554744525548,16384
77,693,7533,1837,7014,13.501440922190202,16384
78,702,7724,1800,6860,13.547652916073968,16384
79,711,7898,1785,6701,13.599719101123595,16384
80,720,8037,1802,6545,13.646324549237171,16384
81,729,8180,1816,6388,13.693150684931506,16384
82,738,8336,1857,6191,13.792963464140731,16384
83,747,8490,1872,6022,13.852941176470589,16384
84,756,8674,1863,5847,13.919418758256274,16384
85,765,8864,1855,5665,13.993472584856397,16384
86,774,9052,1829,5503,14.04,16384
87,783,9215,1821,5348,14.076530612244898,16384
88,792,9370,1812,5202,14.100882723833543,16384
89,801,9524,1794,5066,14.11221945137157,16384
90,810,9683,1765,4936,14.115906288532676,16384
91,819,9839,1753,4792,14.136585365853659,16384
92,828,9996,1717,4671,14.129071170084439,16384
93,837,10193,1654,4537,14.137231503579953,16384
94,846,10362,1612,4410,14.136953955135773,16384
95,855,10537,1587,4260,14.163551401869158,16384
96,864,10719,1546,4119,14.179190751445086,16384
97,873,10881,1522,3981,14.191075514874141,16384
98,882,11036,1490,3858,14.185730464326161,16384
99,891,11182,1469,3733,14.182735426008968,16384
100,900,11318,1466,3600,14.18867924528302,16384
101,909,11448,1472,3464,14.197802197802197,16384
102,918,11592,1452,3340,14.193688792165398,16384
103,927,11713,1453,3218,14.1875,16384
104,936,11847,1434,3103,14.173959445037353,16384
105,945,11974,1419,2991,14.157505285412261,16384
106,954,12124,1375,2885,14.135078534031413,16384
107,963,12265,1355,2764,14.12863070539419,16384
108,972,12403,1321,2660,14.104830421377184,16384
109,981,12526,1313,2545,14.092668024439918,16384
110,990,12651,1292,2441,14.06962663975782,16384
111,999,12784,1268,2332,14.052,16384
112,1008,12920,1251,2213,14.044598612487611,16384
113,1017,13044,1246,2094,14.037328094302554,16384
114,1026,13166,1224,1994,14.011684518013633,16384
115,1035,13281,1229,1874,14.005791505791505,16384
116,1044,13393,1236,1755,13.999043062200958,16384
117,1053,13499,1246,1639,13.98956356736243,16384
118,1062,13620,1219,1545,13.959548447789276,16384
119,1071,13724,1200,1460,13.921641791044776,16384
120,1080,13839,1175,1370,13.888991674375578,16384
121,1089,13943,1164,1277,13.859633027522936,16384
122,1098,14052,1141,1191,13.824385805277524,16384
123,1107,14171,1118,1095,13.798736462093864,16384
124,1116,14290,1065,1029,13.746642793196061,16384
125,1125,14390,1026,968,13.690941385435169,16384
126,1134,14510,958,916,13.628193832599118,16384
127,1143,14629,861,894,13.54020979020979,16384
128,1152,14745,774,865,13.459670424978317,16384
129,1161,14839,719,826,13.388984509466438,16384
130,1170,14924,670,790,13.316823228010248,16384
131,1179,15014,611,759,13.241525423728813,16384
132,1188,15107,540,737,13.159798149705635,16384
133,1197,15193,478,713,13.080968280467445,16384
134,1206,15289,411,684,13.007456503728251,16384
135,1215,15355,370,659,12.931743421052632,16384
136,1224,15416,331,637,12.85469387755102,16384
137,1233,15468,299,617,12.777147487844408,16384
138,1242,15490,306,588,12.70796460176991,16384
139,1251,15519,297,568,12.63258785942492,16384
140,1260,15558,273,553,12.5543219666931,16384
141,1269,15594,245,545,12.471653543307086,16384
142,1278,15625,225,534,12.392494136043783,16384
143,1287,15647,216,521,12.315993788819876,16384
144,1296,15671,201,512,12.237471087124133,16384
145,1305,15700,180,504,12.15926493108729,16384
146,1314,15725,157,502,12.077566539923954,16384
