sim_step,timestep,burned,burning,unburned,burn_rate,size
0,0,0,8,16376,8.0,16384
1,9,0,18,16366,1.8,16384
2,18,0,30,16354,1.5789473684210527,16384
3,27,0,46,16338,1.6428571428571428,16384
4,36,0,66,16318,1.7837837837837838,16384
5,45,0,84,16300,1.826086956521739,16384
6,54,0,112,16272,2.036363636363636,16384
7,63,0,144,16240,2.25,16384
8,72,0,182,16202,2.493150684931507,16384
9,81,0,228,16156,2.7804878048780486,16384
10,90,1,269,16114,2.967032967032967,16384
11,99,8,310,16066,3.18,16384
12,108,18,368,15998,3.541284403669725,16384
13,117,30,419,15935,3.805084745762712,16384
14,126,46,454,15884,3.937007874015748,16384
15,135,66,503,15815,4.1838235294117645,16384
16,144,84,554,15746,4.4,16384
17,153,112,605,15667,4.6558441558441555,16384
18,162,144,649,15591,4.865030674846626,16384
19,171,182,700,15502,5.127906976744186,16384
20,180,228,745,15411,5.375690607734807,16384
21,189,270,810,15304,5.684210526315789,16384
22,198,318,874,15192,5.989949748743719,16384
23,207,386,929,15069,6.322115384615385,16384
24,216,449,989,14946,6.626728110599078,16384
25,225,500,1073,14811,6.960176991150442,16384
26,234,569,1145,14670,7.293617021276596,16384
27,243,638,1224,14522,7.631147540983607,16384
28,252,717,1258,14409,7.8063241106719365,16384
29,261,793,1310,14281,8.026717557251908,16384
30,270,882,1367,14135,8.29889298892989,16384
31,279,973,1409,14002,8.507142857142858,16384
32,288,1080,1463,13841,8.799307958477508,16384
33,297,1192,1510,13682,9.06711409395973,16384
34,306,1315,1550,13519,9.332247557003257,16384
35,315,1438,1583,13363,9.560126582278482,16384
36,324,1573,1614,13197,9.806153846153846,16384
37,333,1714,1640,13030,10.04191616766467,16384
38,342,1862,1651,12871,10.241982507288629,16384
39,351,1975,1718,12691,10.491477272727273,16384
40,360,2103,1767,12514,10.720221606648199,16384
41,369,2249,1804,12331,10.954054054054055,16384
42,378,2382,1869,12133,11.216358839050132,16384
43,387,2543,1895,11946,11.438144329896907,16384
44,396,2702,1937,11745,11.685138539042821,16384
45,405,2865,1987,11532,11.950738916256158,16384
46,414,3021,2044,11319,12.204819277108435,16384
47,423,3187,2135,11062,12.55188679245283,16384
48,432,3354,2245,10785,12.930715935334874,16384
49,441,3513,2348,10523,13.260180995475114,16384
50,450,3693,2406,10285,13.523281596452328,16384
51,459,3870,2469,10045,13.780434782608696,16384
52,468,4053,2542,9789,14.06183368869936,16384
53,477,4251,2602,9531,14.336820083682008,16384
54,486,4438,2676,9270,14.607802874743326,16384
55,495,4639,2738,9007,14.872983870967742,16384
56,504,4852,2793,8739,15.138613861386139,16384
57,513,5065,2862,8457,15.422178988326849,16384
58,522,5322,2849,8213,15.623326959847036,16384
59,531,5599,2820,7965,15.825187969924812,16384
60,540,5861,2771,7752,15.955637707948243,16384
61,549,6099,2739,7546,16.06909090909091,16384
62,558,6339,2712,7333,16.191413237924866,16384
63,567,6595,2668,7121,16.308098591549296,16384
64,576,6853,2601,6930,16.38474870017331,16384
65,585,7114,2524,6746,16.447098976109213,16384
66,594,7377,2447,6560,16.5109243697479,16384
67,603,7645,2348,6391,16.544701986754966,16384
68,612,7927,2240,6217,16.58564437194127,16384
69,621,8171,2160,6053,16.609324758842444,16384
70,630,8419,2098,5867,16.667194928684626,16384
71,639,8632,2056,5696,16.7,16384
72,648,8838,2055,5491,16.784283513097073,16384
73,657,9051,2032,5301,16.843465045592705,16384
74,666,9263,2005,5116,16.893553223388306,16384
75,675,9454,2006,4924,16.952662721893493,16384
76,684,9638,2000,4746,16.98978102189781,16384
77,693,9824,2004,4556,17.043227665706052,16384
78,702,9993,2017,4374,17.083926031294453,16384
79,711,10167,2037,4180,17.140449438202246,16384
80,720,10331,2059,3994,17.184466019417474,16384
81,729,10517,2076,3791,17.25068493150685,16384
82,738,10688,2098,3598,17.30175913396482,16384
83,747,10893,2096,3395,17.364973262032084,16384
84,756,11083,2104,3197,17.42007926023778,16384
85,765,11268,2104,3012,17.45691906005222,16384
86,774,11460,2098,2826,17.4941935483871,16384
87,783,11638,2112,2634,17.538265306122447,16384
88,792,11828,2130,2426,17.601513240857503,16384
89,801,12010,2133,2241,17.634663341645886,16384
90,810,12204,2104,2076,17.642416769420468,16384
91,819,12390,2104,1890,17.67560975609756,16384
92,828,12593,2051,1740,17.66465621230398,16384
93,837,12786,2014,1584,17.66109785202864,16384
94,846,12989,1946,1449,17.632821723730814,16384
95,855,13187,1851,1346,17.567757009345794,16384
96,864,13372,1752,1260,17.484393063583816,16384
97,873,13558,1661,1165,17.41304347826087,16384
98,882,13750,1547,1087,17.323895809739525,16384
99,891,13958,1414,1012,17.233183856502244,16384
100,900,14143,1310,931,17.150943396226417,16384
101,909,14308,1208,868,17.05054945054945,16384
102,918,14494,1074,816,16.940152339499456,16384
103,927,14644,967,773,16.822198275862068,16384
104,936,14800,852,732,16.70437566702241,16384
105,945,14935,746,703,16.576109936575055,16384
106,954,15038,669,677,16.44712041884817,16384
107,963,15124,602,658,16.313278008298756,16384
108,972,15219,530,635,16.186022610483043,16384
109,981,15297,478,609,16.064154786150713,16384
110,990,15372,438,574,15.953582240161452,16384
111,999,15453,382,549,15.835,16384
112,1008,15516,339,529,15.713577799801785,16384
113,1017,15568,305,511,15.592337917485265,16384
114,1026,15611,268,505,15.461538461538462,16384
115,1035,15652,236,496,15.335907335907336,16384
116,1044,15681,215,488,15.211483253588517,16384
117,1053,15707,196,481,15.088235294117647,16384
118,1062,15726,183,475,14.966133584195672,16384
119,1071,15749,166,469,14.846082089552239,16384
120,1080,15775,143,466,14.725254394079556,16384
121,1089,15810,110,464,14.605504587155963,16384
122,1098,15835,87,462,14.4877161055505,16384
123,1107,15855,67,462,14.370036101083032,16384
124,1116,15873,49,462,14.254252461951657,16384
125,1125,15879,43,462,14.14031971580817,16384
126,1134,15888,34,462,14.028193832599118,16384
127,1143,15896,26,462,13.917832167832168,16384
128,1152,15903,19,462,13.809193408499567,16384
129,1161,15909,13,462,13.70223752151463,16384
130,1170,15915,7,462,13.596925704526047,16384
131,1179,15918,4,462,13.49322033898305,16384
132,1188,15920,2,462,13.391084945332212,16384
133,1197,15922,0,462,13.290484140233723,16384
