sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated,area_saved,burn_rate_reduction,bench_episode_length,timesteps_saved,area_saved_prop
0,0,0,7,16376,7.0,16384,1,16056,16057.0,868,868,0.9995019920318725
1,9,0,11,16369,1.1,16384,4,-8,-0.40000000000000013,868,864,-0.01
2,18,0,19,16358,1.0,16384,7,-15,-0.42105263157894735,868,860,-0.01
3,27,0,37,16339,1.3214285714285714,16384,8,-26,-0.6428571428571428,868,856,-0.01
4,36,0,59,16314,1.5945945945945945,16384,11,-33,-0.5945945945945945,868,852,-0.01
5,45,0,84,16286,1.826086956521739,16384,14,-39,-0.5434782608695652,868,848,-0.01
6,54,0,106,16260,1.9272727272727272,16384,18,-40,-0.3999999999999999,868,844,-0.01
7,63,0,128,16235,2.0,16384,21,-43,-0.34375,868,840,-0.01
8,72,0,151,16210,2.0684931506849313,16384,23,-46,-0.31506849315068486,868,836,-0.01
9,81,0,160,16199,1.951219512195122,16384,25,-34,-0.10975609756097549,868,832,-0.01
10,90,1,180,16173,1.989010989010989,16384,30,-51,-0.23076923076923084,868,828,-0.01
11,99,7,195,16147,2.02,16384,35,-56,-0.20999999999999996,868,824,-0.01
12,108,11,206,16129,1.9908256880733946,16384,38,-53,-0.13761467889908263,868,820,-0.01
13,117,19,214,16112,1.9745762711864407,16384,39,-55,-0.13559322033898313,868,816,-0.01
14,126,37,209,16098,1.937007874015748,16384,40,-53,-0.10236220472440927,868,812,-0.01
15,135,59,203,16081,1.9264705882352942,16384,41,-57,-0.11764705882352944,868,808,-0.01
16,144,84,197,16060,1.9379310344827587,16384,43,-62,-0.13103448275862073,868,804,-0.01
17,153,106,196,16039,1.9610389610389611,16384,43,-64,-0.13636363636363646,868,800,-0.01
18,162,128,209,16002,2.067484662576687,16384,45,-80,-0.2147239263803682,868,796,-0.01
19,171,151,209,15976,2.0930232558139537,16384,48,-71,-0.13372093023255838,868,792,-0.01
20,180,160,222,15952,2.110497237569061,16384,50,-72,-0.12154696132596698,868,788,-0.01
21,189,181,223,15929,2.126315789473684,16384,51,-73,-0.11578947368421044,868,784,-0.01
22,198,202,232,15898,2.180904522613065,16384,52,-82,-0.1507537688442211,868,780,-0.01
23,207,217,246,15869,2.2259615384615383,16384,52,-81,-0.13942307692307665,868,776,-0.01
24,216,233,253,15846,2.23963133640553,16384,52,-75,-0.1059907834101379,868,772,-0.01
25,225,246,268,15818,2.274336283185841,16384,52,-80,-0.1238938053097347,868,768,-0.01
26,234,262,278,15791,2.297872340425532,16384,53,-79,-0.11063829787234081,868,764,-0.01
27,243,281,297,15750,2.3688524590163933,16384,56,-94,-0.15573770491803263,868,760,-0.01
28,252,302,314,15711,2.4347826086956523,16384,57,-95,-0.15019762845849804,868,756,-0.01
29,261,337,309,15681,2.4656488549618323,16384,57,-87,-0.11450381679389343,868,752,-0.01
30,270,360,339,15628,2.5793357933579335,16384,57,-110,-0.195571955719557,868,748,-0.01
31,279,382,370,15574,2.6857142857142855,16384,58,-111,-0.18928571428571406,868,744,-0.01
32,288,404,394,15521,2.7612456747404845,16384,65,-111,-0.1591695501730106,868,740,-0.01
33,297,434,411,15470,2.835570469798658,16384,69,-116,-0.1577181208053693,868,736,-0.01
34,306,463,427,15423,2.8990228013029316,16384,71,-116,-0.14657980456026065,868,732,-0.01
35,315,486,443,15380,2.939873417721519,16384,75,-114,-0.12341772151898756,868,728,-0.01
36,324,514,465,15327,3.0123076923076924,16384,78,-128,-0.15384615384615374,868,724,-0.01
37,333,540,491,15272,3.086826347305389,16384,81,-133,-0.15568862275449113,868,720,-0.01
38,342,578,508,15214,3.1661807580174925,16384,84,-139,-0.1603498542274049,868,716,-0.01
39,351,616,515,15167,3.2130681818181817,16384,86,-131,-0.12784090909090873,868,712,-0.01
40,360,646,521,15125,3.2326869806094183,16384,92,-128,-0.09972299168975063,868,708,-0.01
41,369,699,503,15087,3.2486486486486488,16384,95,-130,-0.09459459459459474,868,704,-0.01
42,378,752,497,15034,3.295514511873351,16384,101,-148,-0.12401055408970985,868,700,-0.01
43,387,798,487,14996,3.3118556701030926,16384,103,-139,-0.09278350515463885,868,696,-0.01
44,396,845,476,14957,3.327455919395466,16384,106,-142,-0.09068010075566768,868,692,-0.01
45,405,890,473,14910,3.357142857142857,16384,111,-153,-0.10344827586206895,868,688,-0.01
46,414,929,487,14854,3.4120481927710844,16384,114,-167,-0.12771084337349414,868,684,-0.01
47,423,979,499,14789,3.4858490566037736,16384,117,-179,-0.14622641509433976,868,680,-0.01
48,432,1031,511,14722,3.561200923787529,16384,120,-184,-0.14780600461893778,868,676,-0.01
49,441,1086,512,14665,3.6153846153846154,16384,121,-177,-0.12669683257918551,868,672,-0.01
50,450,1131,534,14597,3.6917960088691797,16384,122,-189,-0.14855875831485577,868,668,-0.01
51,459,1167,561,14533,3.756521739130435,16384,123,-186,-0.13695652173913064,868,664,-0.01
52,468,1202,605,14453,3.8528784648187635,16384,124,-203,-0.1684434968017059,868,660,-0.01
53,477,1249,626,14384,3.922594142259414,16384,125,-193,-0.14225941422594124,868,656,-0.01
54,486,1285,652,14322,3.97741273100616,16384,125,-187,-0.12731006160164293,868,652,-0.01
55,495,1321,681,14256,4.036290322580645,16384,126,-191,-0.13104838709677402,868,648,-0.01
56,504,1363,699,14194,4.083168316831683,16384,128,-188,-0.11881188118811892,868,644,-0.01
57,513,1416,699,14140,4.114785992217898,16384,129,-182,-0.1031128404669257,868,640,-0.01
58,522,1478,697,14079,4.1586998087954115,16384,130,-190,-0.11472275334608106,868,636,-0.01
59,531,1542,694,14017,4.203007518796992,16384,131,-192,-0.11466165413533869,868,632,-0.01
60,540,1598,708,13945,4.262476894639557,16384,133,-203,-0.12939001848428866,868,628,-0.01
61,549,1665,709,13872,4.316363636363636,16384,138,-206,-0.12363636363636399,868,624,-0.01
62,558,1728,738,13776,4.411449016100179,16384,142,-234,-0.1645796064400722,868,620,-0.01
63,567,1807,737,13692,4.47887323943662,16384,148,-226,-0.13732394366197198,868,616,-0.01
64,576,1875,744,13614,4.538994800693241,16384,151,-226,-0.1299826689774699,868,612,-0.01
65,585,1937,757,13536,4.597269624573379,16384,154,-229,-0.12798634812286647,868,608,-0.01
66,594,2002,769,13455,4.6571428571428575,16384,158,-235,-0.12941176470588278,868,604,-0.01
67,603,2062,798,13363,4.735099337748345,16384,161,-250,-0.1473509933774837,868,600,-0.01
68,612,2115,846,13259,4.830342577487765,16384,164,-265,-0.16476345840130513,868,596,-0.01
69,621,2175,880,13159,4.911575562700965,16384,170,-264,-0.15112540192926094,868,592,-0.01
70,630,2236,913,13062,4.990491283676704,16384,173,-267,-0.14896988906497644,868,588,-0.01
71,639,2306,936,12966,5.065625,16384,176,-269,-0.14531250000000018,868,584,-0.01
72,648,2374,950,12884,5.121725731895223,16384,176,-258,-0.12634822804314272,868,580,-0.01
73,657,2466,954,12786,5.197568389057751,16384,178,-274,-0.14589665653495487,868,576,-0.01
74,666,2544,982,12675,5.286356821589205,16384,183,-289,-0.15892053973013454,868,572,-0.01
75,675,2619,1004,12574,5.359467455621302,16384,187,-284,-0.14349112426035493,868,568,-0.01
76,684,2694,1017,12484,5.417518248175183,16384,189,-277,-0.12846715328467173,868,564,-0.01
77,693,2771,1027,12394,5.472622478386167,16384,192,-279,-0.12536023054755052,868,560,-0.01
78,702,2860,1049,12281,5.560455192034139,16384,194,-305,-0.15789473684210442,868,556,-0.01
79,711,2961,1046,12183,5.627808988764045,16384,194,-292,-0.13764044943820242,868,552,-0.01
80,720,3055,1048,12086,5.690707350901525,16384,195,-291,-0.13314840499306513,868,548,-0.01
81,729,3149,1045,11994,5.745205479452054,16384,196,-287,-0.124657534246575,868,544,-0.01
82,738,3242,1049,11892,5.806495263870095,16384,201,-298,-0.13125845737483033,868,540,-0.01
83,747,3324,1059,11798,5.859625668449198,16384,203,-295,-0.12299465240641716,868,536,-0.01
84,756,3420,1065,11695,5.924702774108322,16384,204,-306,-0.13474240422721273,868,532,-0.01
85,765,3526,1057,11594,5.983028720626632,16384,207,-305,-0.12793733681462172,868,528,-0.01
86,774,3623,1061,11490,6.0438709677419356,16384,210,-311,-0.13032258064516178,868,524,-0.01
87,783,3711,1070,11392,6.098214285714286,16384,211,-308,-0.12372448979591866,868,520,-0.01
88,792,3798,1080,11292,6.151324085750315,16384,214,-311,-0.12232030264817162,868,516,-0.01
89,801,3909,1075,11183,6.214463840399002,16384,217,-323,-0.1321695760598498,868,512,-0.01
90,810,4007,1095,11065,6.290998766954377,16384,217,-335,-0.14549938347718872,868,508,-0.01
91,819,4103,1111,10953,6.3585365853658535,16384,217,-329,-0.13658536585365866,868,504,-0.01
92,828,4194,1134,10839,6.427020506634499,16384,217,-331,-0.13751507840771993,868,500,-0.01
93,837,4291,1161,10712,6.505966587112172,16384,220,-344,-0.1479713603818622,868,496,-0.01
94,846,4383,1193,10588,6.58323494687131,16384,220,-344,-0.14639905548996435,868,492,-0.01
95,855,4485,1201,10478,6.642523364485982,16384,220,-330,-0.12850467289719614,868,488,-0.01
96,864,4583,1212,10367,6.699421965317919,16384,222,-331,-0.12601156069364183,868,484,-0.01
97,873,4684,1200,10276,6.732265446224257,16384,224,-313,-0.10183066361556126,868,480,-0.01
98,882,4781,1196,10179,6.768969422423556,16384,228,-321,-0.10532276330690848,868,476,-0.01
99,891,4878,1202,10074,6.816143497757848,16384,230,-333,-0.11547085201793728,868,472,-0.01
100,900,4984,1201,9967,6.864594894561598,16384,232,-337,-0.11653718091010035,868,468,-0.01
101,909,5102,1191,9859,6.915384615384616,16384,232,-340,-0.11868131868131915,868,464,-0.01
102,918,5214,1203,9735,6.982589771490751,16384,232,-356,-0.1349292709466816,868,460,-0.01
103,927,5328,1248,9574,7.086206896551724,16384,234,-393,-0.1713362068965516,868,456,-0.01
104,936,5452,1259,9438,7.16221985058698,16384,235,-370,-0.1440768409818567,868,452,-0.01
105,945,5576,1270,9303,7.236786469344609,16384,235,-370,-0.14270613107822427,868,448,-0.01
106,954,5686,1285,9178,7.299476439790576,16384,235,-360,-0.1308900523560208,868,444,-0.01
107,963,5795,1308,9045,7.368257261410788,16384,236,-368,-0.13692946058091238,868,440,-0.01
108,972,5884,1331,8933,7.4152106885919835,16384,236,-348,-0.11510791366906492,868,436,-0.01
109,981,5977,1343,8827,7.454175152749491,16384,237,-342,-0.10692464358452103,868,432,-0.01
110,990,6080,1336,8728,7.48335015136226,16384,240,-336,-0.09687184661957637,868,428,-0.01
111,999,6185,1327,8632,7.512,16384,240,-336,-0.0959999999999992,868,424,-0.01
112,1008,6293,1321,8528,7.546085232903865,16384,242,-344,-0.1010901883052524,868,420,-0.01
113,1017,6417,1311,8414,7.591355599214145,16384,242,-356,-0.11198428290766138,868,416,-0.01
114,1026,6576,1298,8264,7.66699123661149,16384,246,-392,-0.1421616358325224,868,412,-0.01
115,1035,6711,1311,8113,7.743243243243243,16384,249,-397,-0.14285714285714235,868,408,-0.01
116,1044,6846,1305,7984,7.8,16384,249,-378,-0.1234449760765548,868,404,-0.01
117,1053,6971,1303,7860,7.850094876660341,16384,250,-373,-0.11669829222011341,868,400,-0.01
118,1062,7103,1324,7705,7.927563499529633,16384,252,-405,-0.14393226716839091,868,396,-0.01
119,1071,7215,1328,7584,7.969216417910448,16384,257,-373,-0.10820895522388074,868,392,-0.01
120,1080,7320,1341,7466,8.012025901942646,16384,257,-375,-0.10915818686401568,868,388,-0.01
121,1089,7416,1335,7371,8.028440366972477,16384,262,-352,-0.08256880733944971,868,384,-0.01
122,1098,7512,1354,7253,8.067333939945405,16384,265,-380,-0.10464058234758866,868,380,-0.01
123,1107,7614,1363,7142,8.101985559566787,16384,265,-376,-0.1001805054151621,868,376,-0.01
124,1116,7728,1372,7017,8.146821844225604,16384,267,-390,-0.11011638316920269,868,372,-0.01
125,1125,7874,1367,6872,8.206927175843694,16384,271,-412,-0.12522202486678502,868,368,-0.01
126,1134,8022,1384,6707,8.287224669603525,16384,271,-436,-0.14537444933920796,868,364,-0.01
127,1143,8151,1407,6552,8.354895104895105,16384,274,-426,-0.13286713286713336,868,360,-0.01
128,1152,8274,1474,6360,8.454466608846488,16384,276,-466,-0.1647875108412844,868,356,-0.01
129,1161,8427,1478,6201,8.524096385542169,16384,278,-435,-0.13511187607573127,868,352,-0.01
130,1170,8543,1511,6051,8.585824081981213,16384,279,-428,-0.12724167378309303,868,348,-0.01
131,1179,8661,1561,5880,8.662711864406779,16384,282,-450,-0.14237288135593218,868,344,-0.01
132,1188,8751,1644,5706,8.742640874684609,16384,283,-456,-0.14550042052144718,868,340,-0.01
133,1197,8866,1681,5554,8.803839732888147,16384,283,-435,-0.12687813021702787,868,336,-0.01
134,1206,8977,1739,5384,8.878210439105219,16384,284,-453,-0.14001657000828516,868,332,-0.01
135,1215,9100,1785,5215,8.951480263157896,16384,284,-453,-0.13898026315789558,868,328,-0.01
136,1224,9241,1794,5060,9.008163265306122,16384,289,-437,-0.12081632653061192,868,324,-0.01
137,1233,9406,1805,4878,9.085089141004863,16384,295,-467,-0.13938411669368023,868,320,-0.01
138,1242,9558,1834,4697,9.164923572003218,16384,295,-467,-0.13837489943684567,868,316,-0.01
139,1251,9748,1809,4532,9.230830670926517,16384,295,-446,-0.12060702875399265,868,312,-0.01
140,1260,9905,1819,4362,9.297383029341793,16384,298,-452,-0.12212529738303068,868,308,-0.01
141,1269,10054,1837,4193,9.362992125984253,16384,300,-450,-0.11811023622047223,868,304,-0.01
142,1278,10222,1843,4019,9.433150899139953,16384,300,-453,-0.11962470680219006,868,300,-0.01
143,1287,10395,1797,3888,9.46583850931677,16384,304,-404,-0.07763975155279468,868,296,-0.01
144,1296,10547,1786,3744,9.508866615266,16384,307,-414,-0.08249807247494267,868,292,-0.01
145,1305,10716,1725,3631,9.5260336906585,16384,312,-372,-0.045941807044410865,868,288,-0.01
146,1314,10885,1684,3502,9.558174904942966,16384,313,-376,-0.04790874524714894,868,284,-0.01
147,1323,11035,1665,3367,9.592145015105741,16384,317,-363,-0.034743202416919416,868,280,-0.01
148,1332,11211,1617,3237,9.623405851462866,16384,319,-346,-0.020255063765942438,868,276,-0.01
149,1341,11392,1566,3106,9.655737704918034,16384,320,-338,-0.01341281669150618,868,272,-0.01
150,1350,11557,1502,3003,9.666173205033308,16384,322,-304,0.013323464100666982,868,268,-0.01
151,1359,11724,1423,2912,9.666911764705882,16384,325,-287,0.02794117647058947,868,264,-0.01
152,1368,11891,1343,2824,9.666910153396639,16384,326,-277,0.03579254930606446,868,260,-0.01
153,1377,12065,1268,2720,9.675616835994195,16384,331,-281,0.0362844702467342,868,256,-0.01
154,1386,12192,1251,2610,9.692141312184571,16384,331,-282,0.03532804614275342,868,252,-0.01
155,1395,12333,1204,2512,9.696991404011461,16384,335,-257,0.055873925501432,868,248,-0.01
156,1404,12441,1176,2428,9.691814946619218,16384,339,-227,0.07971530249110259,868,244,-0.01
157,1413,12569,1140,2336,9.695190947666195,16384,339,-217,0.08628005657708648,868,240,-0.01
158,1422,12700,1082,2262,9.685172171468729,16384,340,-177,0.11454673225579626,868,236,-0.01
159,1431,12828,1025,2188,9.673882681564246,16384,343,-162,0.1263966480446932,868,232,-0.01
160,1440,12958,960,2122,9.658570437196392,16384,344,-136,0.1443442054129065,868,228,-0.01
161,1449,13059,922,2058,9.642068965517241,16384,345,-115,0.15862068965517295,868,224,-0.01
162,1458,13147,902,1990,9.629198080877313,16384,345,-91,0.17409184372858277,868,220,-0.01
163,1467,13234,868,1937,9.606267029972752,16384,345,-38,0.20912806539509532,868,216,-0.01
164,1476,13333,816,1890,9.579553148273527,16384,345,-3,0.23155044008124648,868,212,-0.01
165,1485,13443,752,1844,9.552489905787349,16384,345,32,0.25370121130551837,868,208,0.00199203187250996
166,1494,13537,710,1792,9.529765886287626,16384,345,53,0.2662207357859536,868,204,0.0032993027888446216
167,1503,13617,690,1731,9.512632978723405,16384,346,68,0.27526595744680904,868,200,0.004233067729083665
