sim_step,timestep,burned,burning,unburned,burn_rate,size
0,0,0,4,16380,4.0,16384
1,9,0,13,16371,1.3,16384
2,18,0,20,16364,1.0526315789473684,16384
3,27,0,34,16350,1.2142857142857142,16384
4,36,0,52,16332,1.4054054054054055,16384
5,45,0,76,16308,1.6521739130434783,16384
6,54,0,104,16280,1.8909090909090909,16384
7,63,0,133,16251,2.078125,16384
8,72,0,179,16205,2.452054794520548,16384
9,81,0,232,16152,2.8292682926829267,16384
10,90,1,274,16109,3.021978021978022,16384
11,99,4,314,16066,3.18,16384
12,108,13,352,16019,3.3486238532110093,16384
13,117,20,404,15960,3.593220338983051,16384
14,126,34,447,15903,3.7874015748031495,16384
15,135,52,485,15847,3.948529411764706,16384
16,144,76,530,15778,4.179310344827586,16384
17,153,104,583,15697,4.461038961038961,16384
18,162,133,643,15608,4.7607361963190185,16384
19,171,179,691,15514,5.058139534883721,16384
20,180,232,745,15407,5.397790055248619,16384
21,189,275,797,15312,5.6421052631578945,16384
22,198,318,872,15194,5.9798994974874375,16384
23,207,365,919,15100,6.173076923076923,16384
24,216,424,978,14982,6.460829493087558,16384
25,225,481,1059,14844,6.814159292035399,16384
26,234,537,1139,14708,7.131914893617021,16384
27,243,606,1185,14593,7.340163934426229,16384
28,252,687,1229,14468,7.573122529644269,16384
29,261,776,1271,14337,7.812977099236641,16384
30,270,870,1324,14190,8.095940959409594,16384
31,279,977,1369,14038,8.378571428571428,16384
32,288,1072,1413,13899,8.598615916955017,16384
33,297,1190,1425,13769,8.775167785234899,16384
34,306,1284,1502,13598,9.074918566775244,16384
35,315,1402,1549,13433,9.33860759493671,16384
36,324,1540,1573,13271,9.57846153846154,16384
37,333,1676,1611,13097,9.841317365269461,16384
38,342,1791,1666,12927,10.078717201166182,16384
39,351,1916,1730,12738,10.357954545454545,16384
40,360,2047,1809,12528,10.681440443213296,16384
41,369,2194,1867,12323,10.975675675675676,16384
42,378,2346,1943,12095,11.316622691292876,16384
43,387,2485,2038,11861,11.657216494845361,16384
44,396,2615,2119,11650,11.924433249370278,16384
45,405,2786,2170,11428,12.206896551724139,16384
46,414,2951,2225,11208,12.472289156626506,16384
47,423,3113,2307,10964,12.783018867924529,16384
48,432,3287,2369,10728,13.062355658198614,16384
49,441,3457,2405,10522,13.262443438914028,16384
50,450,3646,2454,10284,13.52549889135255,16384
51,459,3856,2459,10069,13.728260869565217,16384
52,468,4061,2489,9834,13.965884861407249,16384
53,477,4289,2533,9562,14.271966527196653,16384
54,486,4523,2561,9300,14.546201232032855,16384
55,495,4734,2598,9052,14.78225806451613,16384
56,504,4956,2617,8811,14.996039603960396,16384
57,513,5176,2641,8567,15.20817120622568,16384
58,522,5420,2657,8307,15.44359464627151,16384
59,531,5656,2695,8033,15.697368421052632,16384
60,540,5862,2743,7779,15.905730129390019,16384
61,549,6100,2749,7535,16.08909090909091,16384
62,558,6315,2773,7296,16.257602862254025,16384
63,567,6550,2793,7041,16.448943661971832,16384
64,576,6822,2781,6781,16.642980935875215,16384
65,585,7084,2754,6546,16.78839590443686,16384
66,594,7332,2759,6293,16.95966386554622,16384
67,603,7573,2742,6069,17.077814569536425,16384
68,612,7817,2729,5838,17.203915171288745,16384
69,621,8077,2716,5591,17.35209003215434,16384
70,630,8351,2643,5390,17.423137876386686,16384
71,639,8605,2598,5181,17.5046875,16384
72,648,8849,2565,4970,17.587057010785824,16384
73,657,9088,2555,4741,17.694528875379937,16384
74,666,9343,2515,4526,17.778110944527736,16384
75,675,9603,2470,4311,17.859467455621303,16384
76,684,9838,2454,4092,17.944525547445256,16384
77,693,10091,2409,3884,18.011527377521613,16384
78,702,10315,2405,3664,18.093883357041253,16384
79,711,10546,2396,3442,18.176966292134832,16384
80,720,10793,2374,3217,18.262135922330096,16384
81,729,10994,2392,2998,18.336986301369862,16384
82,738,11203,2400,2781,18.407307171853855,16384
83,747,11414,2422,2548,18.497326203208555,16384
84,756,11643,2410,2331,18.564068692206078,16384
85,765,11858,2409,2117,18.62532637075718,16384
86,774,12073,2390,1921,18.661935483870966,16384
87,783,12292,2367,1725,18.697704081632654,16384
88,792,12500,2344,1540,18.718789407314,16384
89,801,12720,2257,1407,18.674563591022444,16384
90,810,12942,2174,1268,18.638717632552403,16384
91,819,13167,2065,1152,18.57560975609756,16384
92,828,13386,1948,1050,18.496984318455972,16384
93,837,13603,1829,952,18.41527446300716,16384
94,846,13836,1677,871,18.315230224321134,16384
95,855,14053,1526,805,18.199766355140188,16384
96,864,14267,1367,750,18.07398843930636,16384
97,873,14463,1222,699,17.946224256292908,16384
98,882,14659,1072,653,17.815402038505095,16384
99,891,14844,930,610,17.683856502242154,16384
100,900,14977,840,567,17.55493895671476,16384
101,909,15116,730,538,17.41318681318681,16384
102,918,15232,638,514,17.268770402611533,16384
103,927,15334,553,497,17.119612068965516,16384
104,936,15432,465,487,16.965848452508006,16384
105,945,15513,391,480,16.81183932346723,16384
106,954,15579,326,479,16.654450261780106,16384
107,963,15634,272,478,16.5,16384
108,972,15685,221,478,16.34737923946557,16384
109,981,15731,175,478,16.19755600814664,16384
110,990,15774,132,478,16.05045408678103,16384
111,999,15817,89,478,15.906,16384
112,1008,15846,60,478,15.76412289395441,16384
113,1017,15870,36,478,15.62475442043222,16384
114,1026,15887,19,478,15.487828627069133,16384
115,1035,15897,9,478,15.353281853281853,16384
116,1044,15904,2,478,15.221052631578948,16384
117,1053,15905,1,478,15.091081593927894,16384
118,1062,15906,0,478,14.963311382878645,16384
