sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated,area_saved,burn_rate_reduction,bench_episode_length,timesteps_saved,area_saved_prop
0,0,0,3,1020,3.0,1024,1,0,1.0,412,412,0.0
1,9,0,4,1018,0.4,1024,2,-3,-0.10000000000000003,412,408,-0.01
2,18,0,4,1015,0.21052631578947367,1024,5,-5,0.0,412,404,-0.01
3,27,0,4,1012,0.14285714285714285,1024,8,-8,0.0,412,400,-0.01
4,36,0,4,1010,0.10810810810810811,1024,10,-10,0.0,412,396,-0.01
5,45,0,4,1009,0.08695652173913043,1024,11,-11,0.0,412,392,-0.01
6,54,0,4,1005,0.07272727272727272,1024,15,-15,0.0,412,388,-0.01
7,63,0,4,1003,0.0625,1024,17,-17,0.0,412,384,-0.01
8,72,0,4,1003,0.0547945205479452,1024,17,-17,0.0,412,380,-0.01
9,81,0,4,1000,0.04878048780487805,1024,20,-20,0.0,412,376,-0.01
10,90,0,4,996,0.04395604395604396,1024,24,-24,0.0,412,372,-0.01
11,99,0,4,992,0.04,1024,28,-28,0.0,412,368,-0.01
12,108,0,4,991,0.03669724770642202,1024,29,-29,0.0,412,364,-0.01
13,117,0,4,986,0.03389830508474576,1024,34,-34,0.0,412,360,-0.01
14,126,0,4,983,0.031496062992125984,1024,37,-37,0.0,412,356,-0.01
15,135,0,4,980,0.029411764705882353,1024,40,-40,0.0,412,352,-0.01
16,144,0,4,978,0.027586206896551724,1024,42,-42,0.0,412,348,-0.01
17,153,0,4,975,0.025974025974025976,1024,45,-45,0.0,412,344,-0.01
18,162,0,4,975,0.024539877300613498,1024,45,-45,0.0,412,340,-0.01
19,171,0,4,973,0.023255813953488372,1024,47,-47,0.0,412,336,-0.01
20,180,0,4,969,0.022099447513812154,1024,51,-51,0.0,412,332,-0.01
21,189,0,4,966,0.021052631578947368,1024,54,-54,0.0,412,328,-0.01
22,198,0,4,962,0.020100502512562814,1024,58,-58,0.0,412,324,-0.01
