sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated,area_saved,burn_rate_reduction,bench_episode_length,timesteps_saved,area_saved_prop
0,0,0,7,16376,7.0,16384,1,16056,16057.0,868,868,0.9995019920318725
1,9,0,11,16369,1.1,16384,4,-8,-0.40000000000000013,868,864,-0.01
2,18,0,19,16358,1.0,16384,7,-15,-0.42105263157894735,868,860,-0.01
3,27,0,37,16337,1.3214285714285714,16384,10,-28,-0.6428571428571428,868,856,-0.01
4,36,0,59,16308,1.5945945945945945,16384,17,-39,-0.5945945945945945,868,852,-0.01
5,45,0,84,16282,1.826086956521739,16384,18,-43,-0.5434782608695652,868,848,-0.01
6,54,0,106,16258,1.9272727272727272,16384,20,-42,-0.3999999999999999,868,844,-0.01
7,63,0,128,16233,2.0,16384,23,-45,-0.34375,868,840,-0.01
8,72,0,151,16207,2.0684931506849313,16384,26,-49,-0.31506849315068486,868,836,-0.01
9,81,0,160,16193,1.951219512195122,16384,31,-40,-0.10975609756097549,868,832,-0.01
10,90,1,180,16171,1.989010989010989,16384,32,-53,-0.23076923076923084,868,828,-0.01
11,99,7,195,16146,2.02,16384,36,-57,-0.20999999999999996,868,824,-0.01
12,108,11,206,16130,1.9908256880733946,16384,37,-52,-0.13761467889908263,868,820,-0.01
13,117,19,214,16112,1.9745762711864407,16384,39,-55,-0.13559322033898313,868,816,-0.01
14,126,37,209,16098,1.937007874015748,16384,40,-53,-0.10236220472440927,868,812,-0.01
15,135,59,203,16079,1.9264705882352942,16384,43,-59,-0.11764705882352944,868,808,-0.01
16,144,84,197,16058,1.9379310344827587,16384,45,-64,-0.13103448275862073,868,804,-0.01
17,153,106,196,16035,1.9610389610389611,16384,47,-68,-0.13636363636363646,868,800,-0.01
18,162,128,209,15997,2.067484662576687,16384,50,-85,-0.2147239263803682,868,796,-0.01
19,171,151,209,15973,2.0930232558139537,16384,51,-74,-0.13372093023255838,868,792,-0.01
20,180,160,222,15950,2.110497237569061,16384,52,-74,-0.12154696132596698,868,788,-0.01
21,189,181,223,15927,2.126315789473684,16384,53,-75,-0.11578947368421044,868,784,-0.01
22,198,202,232,15897,2.180904522613065,16384,53,-83,-0.1507537688442211,868,780,-0.01
23,207,217,246,15867,2.2259615384615383,16384,54,-83,-0.13942307692307665,868,776,-0.01
24,216,233,253,15844,2.23963133640553,16384,54,-77,-0.1059907834101379,868,772,-0.01
25,225,246,268,15816,2.274336283185841,16384,54,-82,-0.1238938053097347,868,768,-0.01
26,234,262,278,15788,2.297872340425532,16384,56,-82,-0.11063829787234081,868,764,-0.01
27,243,281,297,15750,2.3688524590163933,16384,56,-94,-0.15573770491803263,868,760,-0.01
28,252,302,314,15710,2.4347826086956523,16384,58,-96,-0.15019762845849804,868,756,-0.01
29,261,337,309,15677,2.4656488549618323,16384,61,-91,-0.11450381679389343,868,752,-0.01
30,270,360,339,15623,2.5793357933579335,16384,62,-115,-0.195571955719557,868,748,-0.01
31,279,382,370,15568,2.6857142857142855,16384,64,-117,-0.18928571428571406,868,744,-0.01
32,288,404,394,15519,2.7612456747404845,16384,67,-113,-0.1591695501730106,868,740,-0.01
33,297,434,411,15472,2.835570469798658,16384,67,-114,-0.1577181208053693,868,736,-0.01
34,306,463,427,15425,2.8990228013029316,16384,69,-114,-0.14657980456026065,868,732,-0.01
35,315,486,443,15385,2.939873417721519,16384,70,-109,-0.12341772151898756,868,728,-0.01
36,324,514,465,15335,3.0123076923076924,16384,70,-120,-0.15384615384615374,868,724,-0.01
37,333,540,491,15283,3.086826347305389,16384,70,-122,-0.15568862275449113,868,720,-0.01
38,342,578,508,15226,3.1661807580174925,16384,72,-127,-0.1603498542274049,868,716,-0.01
39,351,616,515,15178,3.2130681818181817,16384,75,-120,-0.12784090909090873,868,712,-0.01
40,360,646,521,15138,3.2326869806094183,16384,79,-115,-0.09972299168975063,868,708,-0.01
41,369,699,503,15102,3.2486486486486488,16384,80,-115,-0.09459459459459474,868,704,-0.01
42,378,752,497,15051,3.295514511873351,16384,84,-131,-0.12401055408970985,868,700,-0.01
43,387,798,487,15015,3.3118556701030926,16384,84,-120,-0.09278350515463885,868,696,-0.01
44,396,845,476,14977,3.327455919395466,16384,86,-122,-0.09068010075566768,868,692,-0.01
45,405,890,473,14932,3.357142857142857,16384,89,-131,-0.10344827586206895,868,688,-0.01
46,414,929,487,14875,3.4120481927710844,16384,93,-146,-0.12771084337349414,868,684,-0.01
47,423,979,499,14812,3.4858490566037736,16384,94,-156,-0.14622641509433976,868,680,-0.01
48,432,1031,511,14743,3.561200923787529,16384,99,-163,-0.14780600461893778,868,676,-0.01
49,441,1086,512,14686,3.6153846153846154,16384,100,-156,-0.12669683257918551,868,672,-0.01
50,450,1131,534,14617,3.6917960088691797,16384,102,-169,-0.14855875831485577,868,668,-0.01
51,459,1167,561,14552,3.756521739130435,16384,104,-167,-0.13695652173913064,868,664,-0.01
52,468,1202,605,14473,3.8528784648187635,16384,104,-183,-0.1684434968017059,868,660,-0.01
53,477,1249,626,14405,3.922594142259414,16384,104,-172,-0.14225941422594124,868,656,-0.01
54,486,1285,652,14343,3.97741273100616,16384,104,-166,-0.12731006160164293,868,652,-0.01
55,495,1321,681,14277,4.036290322580645,16384,105,-170,-0.13104838709677402,868,648,-0.01
56,504,1363,699,14217,4.083168316831683,16384,105,-165,-0.11881188118811892,868,644,-0.01
57,513,1416,699,14163,4.114785992217898,16384,106,-159,-0.1031128404669257,868,640,-0.01
58,522,1478,697,14102,4.1586998087954115,16384,107,-167,-0.11472275334608106,868,636,-0.01
59,531,1542,694,14041,4.203007518796992,16384,107,-168,-0.11466165413533869,868,632,-0.01
60,540,1598,708,13971,4.262476894639557,16384,107,-177,-0.12939001848428866,868,628,-0.01
61,549,1665,709,13902,4.316363636363636,16384,108,-176,-0.12363636363636399,868,624,-0.01
62,558,1728,738,13810,4.411449016100179,16384,108,-200,-0.1645796064400722,868,620,-0.01
63,567,1807,737,13732,4.47887323943662,16384,108,-186,-0.13732394366197198,868,616,-0.01
64,576,1875,744,13657,4.538994800693241,16384,108,-183,-0.1299826689774699,868,612,-0.01
65,585,1937,757,13582,4.597269624573379,16384,108,-183,-0.12798634812286647,868,608,-0.01
66,594,2002,769,13505,4.6571428571428575,16384,108,-185,-0.12941176470588278,868,604,-0.01
67,603,2062,798,13416,4.735099337748345,16384,108,-197,-0.1473509933774837,868,600,-0.01
68,612,2115,846,13315,4.830342577487765,16384,108,-209,-0.16476345840130513,868,596,-0.01
69,621,2175,880,13221,4.911575562700965,16384,108,-202,-0.15112540192926094,868,592,-0.01
70,630,2236,913,13127,4.990491283676704,16384,108,-202,-0.14896988906497644,868,588,-0.01
71,639,2306,936,13034,5.065625,16384,108,-201,-0.14531250000000018,868,584,-0.01
72,648,2374,950,12952,5.121725731895223,16384,108,-190,-0.12634822804314272,868,580,-0.01
73,657,2466,954,12856,5.197568389057751,16384,108,-204,-0.14589665653495487,868,576,-0.01
74,666,2544,982,12750,5.286356821589205,16384,108,-214,-0.15892053973013454,868,572,-0.01
75,675,2619,1004,12653,5.359467455621302,16384,108,-205,-0.14349112426035493,868,568,-0.01
76,684,2694,1017,12563,5.417518248175183,16384,110,-198,-0.12846715328467173,868,564,-0.01
77,693,2771,1027,12476,5.472622478386167,16384,110,-197,-0.12536023054755052,868,560,-0.01
78,702,2860,1049,12365,5.560455192034139,16384,110,-221,-0.15789473684210442,868,556,-0.01
79,711,2961,1046,12267,5.627808988764045,16384,110,-208,-0.13764044943820242,868,552,-0.01
80,720,3055,1048,12171,5.690707350901525,16384,110,-206,-0.13314840499306513,868,548,-0.01
81,729,3149,1045,12079,5.745205479452054,16384,111,-202,-0.124657534246575,868,544,-0.01
82,738,3242,1049,11977,5.806495263870095,16384,116,-213,-0.13125845737483033,868,540,-0.01
83,747,3324,1059,11882,5.859625668449198,16384,119,-211,-0.12299465240641716,868,536,-0.01
84,756,3420,1065,11773,5.924702774108322,16384,126,-228,-0.13474240422721273,868,532,-0.01
85,765,3526,1057,11670,5.983028720626632,16384,131,-229,-0.12793733681462172,868,528,-0.01
86,774,3623,1061,11568,6.0438709677419356,16384,132,-233,-0.13032258064516178,868,524,-0.01
87,783,3711,1070,11468,6.098214285714286,16384,135,-232,-0.12372448979591866,868,520,-0.01
88,792,3798,1080,11366,6.151324085750315,16384,140,-237,-0.12232030264817162,868,516,-0.01
89,801,3909,1075,11256,6.214463840399002,16384,144,-250,-0.1321695760598498,868,512,-0.01
90,810,4007,1095,11138,6.290998766954377,16384,144,-262,-0.14549938347718872,868,508,-0.01
91,819,4103,1111,11023,6.3585365853658535,16384,147,-259,-0.13658536585365866,868,504,-0.01
92,828,4194,1134,10905,6.427020506634499,16384,151,-265,-0.13751507840771993,868,500,-0.01
93,837,4291,1161,10777,6.505966587112172,16384,155,-279,-0.1479713603818622,868,496,-0.01
94,846,4383,1193,10651,6.58323494687131,16384,157,-281,-0.14639905548996435,868,492,-0.01
95,855,4485,1201,10538,6.642523364485982,16384,160,-270,-0.12850467289719614,868,488,-0.01
96,864,4583,1212,10427,6.699421965317919,16384,162,-271,-0.12601156069364183,868,484,-0.01
97,873,4684,1200,10337,6.732265446224257,16384,163,-252,-0.10183066361556126,868,480,-0.01
98,882,4781,1196,10241,6.768969422423556,16384,166,-259,-0.10532276330690848,868,476,-0.01
99,891,4878,1202,10135,6.816143497757848,16384,169,-272,-0.11547085201793728,868,472,-0.01
100,900,4984,1201,10028,6.864594894561598,16384,171,-276,-0.11653718091010035,868,468,-0.01
101,909,5102,1191,9919,6.915384615384616,16384,172,-280,-0.11868131868131915,868,464,-0.01
102,918,5214,1203,9794,6.982589771490751,16384,173,-297,-0.1349292709466816,868,460,-0.01
103,927,5328,1248,9631,7.086206896551724,16384,177,-336,-0.1713362068965516,868,456,-0.01
104,936,5452,1259,9491,7.16221985058698,16384,182,-317,-0.1440768409818567,868,452,-0.01
105,945,5576,1270,9352,7.236786469344609,16384,186,-321,-0.14270613107822427,868,448,-0.01
106,954,5686,1285,9223,7.299476439790576,16384,190,-315,-0.1308900523560208,868,444,-0.01
107,963,5795,1308,9088,7.368257261410788,16384,193,-325,-0.13692946058091238,868,440,-0.01
108,972,5884,1331,8973,7.4152106885919835,16384,196,-308,-0.11510791366906492,868,436,-0.01
109,981,5977,1343,8866,7.454175152749491,16384,198,-303,-0.10692464358452103,868,432,-0.01
110,990,6080,1336,8766,7.48335015136226,16384,202,-298,-0.09687184661957637,868,428,-0.01
111,999,6185,1327,8666,7.512,16384,206,-302,-0.0959999999999992,868,424,-0.01
112,1008,6293,1321,8563,7.546085232903865,16384,207,-309,-0.1010901883052524,868,420,-0.01
113,1017,6417,1311,8447,7.591355599214145,16384,209,-323,-0.11198428290766138,868,416,-0.01
114,1026,6576,1298,8299,7.66699123661149,16384,211,-357,-0.1421616358325224,868,412,-0.01
115,1035,6711,1311,8150,7.743243243243243,16384,212,-360,-0.14285714285714235,868,408,-0.01
116,1044,6846,1305,8018,7.8,16384,215,-344,-0.1234449760765548,868,404,-0.01
117,1053,6971,1303,7893,7.850094876660341,16384,217,-340,-0.11669829222011341,868,400,-0.01
118,1062,7103,1324,7737,7.927563499529633,16384,220,-373,-0.14393226716839091,868,396,-0.01
119,1071,7215,1328,7619,7.969216417910448,16384,222,-338,-0.10820895522388074,868,392,-0.01
120,1080,7320,1341,7499,8.012025901942646,16384,224,-342,-0.10915818686401568,868,388,-0.01
121,1089,7416,1335,7409,8.028440366972477,16384,224,-314,-0.08256880733944971,868,384,-0.01
122,1098,7512,1354,7294,8.067333939945405,16384,224,-339,-0.10464058234758866,868,380,-0.01
123,1107,7614,1363,7182,8.101985559566787,16384,225,-336,-0.1001805054151621,868,376,-0.01
124,1116,7728,1372,7057,8.146821844225604,16384,227,-350,-0.11011638316920269,868,372,-0.01
125,1125,7874,1367,6915,8.206927175843694,16384,228,-369,-0.12522202486678502,868,368,-0.01
126,1134,8022,1384,6748,8.287224669603525,16384,230,-395,-0.14537444933920796,868,364,-0.01
127,1143,8151,1407,6594,8.354895104895105,16384,232,-384,-0.13286713286713336,868,360,-0.01
128,1152,8274,1474,6399,8.454466608846488,16384,237,-427,-0.1647875108412844,868,356,-0.01
129,1161,8427,1478,6240,8.524096385542169,16384,239,-396,-0.13511187607573127,868,352,-0.01
130,1170,8543,1511,6086,8.585824081981213,16384,244,-393,-0.12724167378309303,868,348,-0.01
131,1179,8661,1561,5914,8.662711864406779,16384,248,-416,-0.14237288135593218,868,344,-0.01
132,1188,8751,1644,5737,8.742640874684609,16384,252,-425,-0.14550042052144718,868,340,-0.01
133,1197,8866,1681,5582,8.803839732888147,16384,255,-407,-0.12687813021702787,868,336,-0.01
134,1206,8977,1739,5413,8.878210439105219,16384,255,-424,-0.14001657000828516,868,332,-0.01
135,1215,9100,1787,5239,8.953125,16384,258,-429,-0.140625,868,328,-0.01
136,1224,9241,1798,5086,9.01142857142857,16384,259,-411,-0.12408163265306094,868,324,-0.01
137,1233,9406,1814,4902,9.092382495948137,16384,262,-443,-0.14667747163695388,868,320,-0.01
138,1242,9558,1848,4716,9.176186645213194,16384,262,-448,-0.149637972646822,868,316,-0.01
139,1251,9748,1822,4552,9.241214057507987,16384,262,-426,-0.13099041533546263,868,312,-0.01
140,1260,9905,1836,4377,9.31086439333862,16384,266,-437,-0.13560666137985855,868,308,-0.01
141,1269,10054,1858,4205,9.379527559055118,16384,267,-438,-0.1346456692913378,868,304,-0.01
142,1278,10222,1870,4019,9.45426114151681,16384,273,-453,-0.1407349491790466,868,300,-0.01
143,1287,10395,1831,3882,9.49223602484472,16384,276,-410,-0.10403726708074501,868,296,-0.01
144,1296,10547,1833,3723,9.545104086353122,16384,281,-435,-0.11873554356206562,868,292,-0.01
145,1305,10716,1789,3596,9.575038284839204,16384,283,-407,-0.09494640122511555,868,288,-0.01
146,1314,10887,1765,3446,9.621292775665399,16384,286,-432,-0.11102661596958185,868,284,-0.01
147,1323,11039,1755,3302,9.663141993957703,16384,288,-428,-0.10574018126888163,868,280,-0.01
148,1332,11220,1706,3170,9.696924231057764,16384,288,-413,-0.09377344336084015,868,276,-0.01
149,1341,11406,1649,3038,9.728017883755589,16384,291,-406,-0.08569299552906173,868,272,-0.01
150,1350,11570,1589,2932,9.740192450037009,16384,293,-375,-0.060695780903033736,868,268,-0.01
151,1359,11741,1508,2840,9.741911764705883,16384,295,-359,-0.0470588235294116,868,264,-0.01
152,1368,11912,1426,2751,9.742878013148284,16384,295,-350,-0.04017531044557998,868,260,-0.01
153,1377,12092,1339,2656,9.746734397677795,16384,297,-345,-0.03483309143686597,868,256,-0.01
154,1386,12226,1301,2559,9.75270367700072,16384,298,-333,-0.025234318673396317,868,252,-0.01
155,1395,12380,1233,2473,9.751432664756447,16384,298,-296,0.0014326647564466555,868,248,-0.01
156,1404,12505,1186,2395,9.744483985765125,16384,298,-260,0.027046263345194888,868,244,-0.01
157,1413,12652,1138,2296,9.752475247524753,16384,298,-257,0.028995756718527943,868,240,-0.01
158,1422,12794,1078,2214,9.748418833450456,16384,298,-225,0.05130007027406869,868,236,-0.01
159,1431,12926,1027,2133,9.743715083798882,16384,298,-217,0.05656424581005659,868,232,-0.01
160,1440,13055,974,2057,9.73560027758501,16384,298,-201,0.06731436502428778,868,228,-0.01
161,1449,13159,938,1989,9.722068965517241,16384,298,-184,0.07862068965517288,868,224,-0.01
162,1458,13249,918,1918,9.710075394105552,16384,299,-163,0.09321453050034378,868,220,-0.01
163,1467,13338,877,1869,9.68324250681199,16384,300,-106,0.13215258855585788,868,216,-0.01
164,1476,13431,832,1821,9.65673662830061,16384,300,-72,0.15436696005416373,868,212,-0.01
165,1485,13527,778,1779,9.626514131897713,16384,300,-33,0.17967698519515451,868,208,-0.01
166,1494,13613,749,1721,9.606688963210702,16384,301,-18,0.18929765886287697,868,204,-0.01
167,1503,13691,728,1664,9.587101063829786,16384,301,1,0.20079787234042712,868,200,6.225099601593625e-05
