sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated,area_saved,burn_rate_reduction,bench_episode_length,timesteps_saved,area_saved_prop
0,0,0,7,16376,7.0,16384,1,16056,16057.0,868,868,0.9995019920318725
1,9,0,11,16368,1.1,16384,5,-9,-0.40000000000000013,868,864,-0.01
2,18,0,19,16354,1.0,16384,11,-19,-0.42105263157894735,868,860,-0.01
3,27,0,37,16334,1.3214285714285714,16384,13,-31,-0.6428571428571428,868,856,-0.01
4,36,0,59,16309,1.5945945945945945,16384,16,-38,-0.5945945945945945,868,852,-0.01
5,45,0,84,16284,1.826086956521739,16384,16,-41,-0.5434782608695652,868,848,-0.01
6,54,0,106,16262,1.9272727272727272,16384,16,-38,-0.3999999999999999,868,844,-0.01
7,63,0,128,16239,2.0,16384,17,-39,-0.34375,868,840,-0.01
8,72,0,151,16212,2.0684931506849313,16384,21,-44,-0.31506849315068486,868,836,-0.01
9,81,0,160,16201,1.951219512195122,16384,23,-32,-0.10975609756097549,868,832,-0.01
10,90,1,180,16180,1.989010989010989,16384,23,-44,-0.23076923076923084,868,828,-0.01
11,99,7,195,16154,2.02,16384,28,-49,-0.20999999999999996,868,824,-0.01
12,108,11,206,16138,1.9908256880733946,16384,29,-44,-0.13761467889908263,868,820,-0.01
13,117,19,214,16119,1.9745762711864407,16384,32,-48,-0.13559322033898313,868,816,-0.01
14,126,37,209,16101,1.937007874015748,16384,37,-50,-0.10236220472440927,868,812,-0.01
15,135,59,203,16084,1.9264705882352942,16384,38,-54,-0.11764705882352944,868,808,-0.01
16,144,84,197,16060,1.9379310344827587,16384,43,-62,-0.13103448275862073,868,804,-0.01
17,153,106,196,16038,1.9610389610389611,16384,44,-65,-0.13636363636363646,868,800,-0.01
18,162,128,209,16001,2.067484662576687,16384,46,-81,-0.2147239263803682,868,796,-0.01
19,171,151,209,15974,2.0930232558139537,16384,50,-73,-0.13372093023255838,868,792,-0.01
20,180,160,222,15949,2.110497237569061,16384,53,-75,-0.12154696132596698,868,788,-0.01
21,189,181,223,15923,2.126315789473684,16384,57,-79,-0.11578947368421044,868,784,-0.01
22,198,202,232,15889,2.180904522613065,16384,61,-91,-0.1507537688442211,868,780,-0.01
23,207,217,246,15859,2.2259615384615383,16384,62,-91,-0.13942307692307665,868,776,-0.01
24,216,233,253,15831,2.23963133640553,16384,67,-90,-0.1059907834101379,868,772,-0.01
25,225,246,268,15801,2.274336283185841,16384,69,-97,-0.1238938053097347,868,768,-0.01
26,234,262,278,15775,2.297872340425532,16384,69,-95,-0.11063829787234081,868,764,-0.01
27,243,281,297,15737,2.3688524590163933,16384,69,-107,-0.15573770491803263,868,760,-0.01
28,252,302,314,15697,2.4347826086956523,16384,71,-109,-0.15019762845849804,868,756,-0.01
29,261,337,309,15665,2.4656488549618323,16384,73,-103,-0.11450381679389343,868,752,-0.01
30,270,360,339,15612,2.5793357933579335,16384,73,-126,-0.195571955719557,868,748,-0.01
31,279,382,370,15558,2.6857142857142855,16384,74,-127,-0.18928571428571406,868,744,-0.01
32,288,404,394,15512,2.7612456747404845,16384,74,-120,-0.1591695501730106,868,740,-0.01
33,297,434,411,15461,2.835570469798658,16384,78,-125,-0.1577181208053693,868,736,-0.01
34,306,463,427,15414,2.8990228013029316,16384,80,-125,-0.14657980456026065,868,732,-0.01
